workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,e2e_us,avg_us,majflt,minflt,load,memavail_kb
C,orig,layers_46,pread,128,1,1,0.00,100.00,1017.69,4246.18,5263.87,1.62,24.00,25.00,1.93,53984996
C,orig,layers_46,async,128,1,1,0.00,100.00,1014.05,329.89,1343.94,1.64,24.00,25.00,1.93,53988996
C,orig,layers_64,pread,128,1,1,0.00,100.00,1040.94,5721.28,6762.22,1.59,24.00,25.00,1.93,54007960
C,orig,layers_64,async,128,1,1,0.00,100.00,1013.07,352.64,1365.71,1.60,24.00,25.00,1.93,54009136
C,orig,layers_92,pread,128,1,1,0.00,100.00,637.58,8190.60,8828.18,1.60,24.00,25.00,1.93,54009000
C,orig,layers_92,async,128,1,1,0.00,100.00,631.95,449.25,1081.20,1.60,24.00,25.00,1.93,54011464
C,vacuum,layers_1,pread,128,1,1,0.00,100.00,919.28,389.28,1308.56,1.53,14.00,33.00,1.93,54011024
C,vacuum,layers_1,async,128,1,1,0.00,100.00,891.72,301.78,1193.50,1.54,14.00,33.00,1.93,54009816
C,vacuum,layers_2,pread,128,1,1,0.00,100.00,899.45,517.50,1416.95,1.55,14.00,33.00,1.93,54010180
C,vacuum,layers_2,async,128,1,1,0.00,100.00,869.10,265.75,1134.85,1.53,14.00,33.00,1.93,54010456
C,vacuum,layers_3,pread,128,1,1,0.00,100.00,892.15,555.78,1447.93,1.53,14.00,33.00,1.93,54010720
C,vacuum,layers_3,async,128,1,1,0.00,100.00,895.06,297.33,1192.39,1.55,14.00,33.00,1.93,54010636
C,vacuum,layers_4,pread,128,1,1,0.00,100.00,894.01,538.59,1432.60,1.53,14.00,33.00,1.93,54010380
C,vacuum,layers_4,async,128,1,1,0.00,100.00,821.91,263.57,1085.48,1.53,14.00,33.00,1.93,54011076
C,vacuum,layers_5,pread,128,1,1,0.00,100.00,892.65,755.47,1648.12,1.53,14.00,33.00,1.93,54010432
C,vacuum,layers_5,async,128,1,1,0.00,100.00,889.84,276.50,1166.34,1.54,14.00,33.00,1.93,54011200
C,vacuum,layers_6,pread,128,1,1,0.00,100.00,862.13,811.89,1674.02,1.54,14.00,33.00,1.93,54010992
C,vacuum,layers_6,async,128,1,1,0.00,100.00,907.92,273.93,1181.85,1.54,14.00,33.00,1.93,54010432
C,vacuum,layers_8,pread,128,1,1,0.00,100.00,906.51,947.28,1853.79,1.54,14.00,33.00,1.93,54010196
C,vacuum,layers_8,async,128,1,1,0.00,100.00,911.34,280.62,1191.96,1.51,14.00,33.00,1.93,54010840
C,vacuum,layers_12,pread,128,1,1,0.00,100.00,826.09,1304.20,2130.29,1.55,14.00,33.00,1.93,54010652
C,vacuum,layers_12,async,128,1,1,0.00,100.00,901.77,284.83,1186.60,1.53,14.00,33.00,1.93,54011404
C,vacuum,layers_16,pread,128,1,1,0.00,100.00,895.12,1624.97,2520.09,1.54,14.00,33.00,1.93,54010940
