workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,e2e_median,cold_pct_max
Z,orig,layers_32,pread,1,128,163.88,,163.88,0,100.0,3040.45,3204.33,0.0
Z,orig,layers_4,async,3,128,355.95,,309.46,29.32,100.0,268.10,623.76,0.0
Z,orig,layers_4,pread,1,128,165.19,,165.19,0,100.0,545.89,711.08,0.0
Z,orig,layers_46,async,3,128,376.32,,332.96,21.07,100.0,328.25,695.05,0.0
Z,orig,layers_46,pread,1,128,165.78,,165.78,0,100.0,4271.55,4437.33,0.0
Z,orig,layers_5,async,3,128,334.99,,332.46,13.53,100.0,266.33,601.32,0.0
Z,orig,layers_5,pread,1,128,172.81,,172.81,0,100.0,645.98,818.79,0.0
Z,orig,layers_6,async,3,128,380.56,,364.95,7.39,100.0,269.46,646.32,0.0
Z,orig,layers_6,pread,1,128,170.19,,170.19,0,100.0,725.91,896.10,0.0
Z,orig,layers_64,async,3,128,364.27,,337.02,19.10,100.0,352.22,717.81,0.0
Z,orig,layers_64,pread,1,128,166.82,,166.82,0,100.0,5667.54,5834.36,0.0
Z,orig,layers_8,async,3,128,367.94,,360.82,9.14,100.0,271.71,643.71,0.0
Z,orig,layers_8,pread,1,128,162.03,,162.03,0,100.0,992.91,1154.94,0.0
Z,orig,layers_92,async,3,128,382.40,,335.20,22.34,100.0,400.22,780.27,0.0
Z,orig,layers_92,pread,1,128,165.25,,165.25,0,100.0,8044.53,8209.78,0.0
Z,ta,baseline,baseline,3,128,728.05,,670.15,49.66,0.0,0.00,728.05,0.0
Z,ta,layers_1,async,3,128,900.52,,899.36,33.31,100.0,260.75,1160.11,0.0
Z,ta,layers_1,pread,1,128,965.61,,965.61,0,100.0,346.23,1311.84,0.0
