workload,N,rep,first_query_us,avg_us,majflt,minflt
B,83,1,530.27,2.16,181,275
B,83,2,485.14,2.17,181,275
B,83,3,529.66,2.16,181,275
B,84,1,535.39,2.14,181,275
B,84,2,483.22,2.12,181,275
B,84,3,462.25,2.14,181,275
B,85,1,543.25,2.13,181,275
B,85,2,536.91,2.16,181,275
B,85,3,527.44,2.15,181,275
B,86,1,534.24,2.14,181,275
B,86,2,634.77,2.18,181,275
B,86,3,681.57,2.15,181,275
B,87,1,527.43,2.15,181,275
B,87,2,540.56,2.13,181,276
B,87,3,536.98,2.17,181,275
B,88,1,540.18,2.14,181,275
B,88,2,534.28,2.13,181,275
B,88,3,535.65,2.16,181,275
B,89,1,564.98,2.15,181,276
B,89,2,542.01,2.14,181,275
B,89,3,527.65,2.15,181,275
B,90,1,551.48,2.13,181,275
B,90,2,532.40,2.15,181,275
B,90,3,535.59,2.15,181,275
B,91,1,544.53,2.18,181,275
B,91,2,538.71,2.17,181,275
B,91,3,532.09,2.15,181,275
B,92,1,538.15,2.15,181,275
B,92,2,543.39,2.08,181,275
B,92,3,530.35,2.10,181,275
C,0,1,773.12,1.54,25,28
C,0,2,746.26,1.53,25,27
C,0,3,736.91,1.56,25,27
C,1,1,730.67,1.56,25,27
C,1,2,726.17,1.55,25,27
C,1,3,751.12,1.55,25,28
C,2,1,763.87,1.57,25,27
C,2,2,717.86,1.55,25,27
C,2,3,716.05,1.54,25,27
C,3,1,756.49,1.59,25,27
C,3,2,721.76,1.55,25,27
C,3,3,732.41,1.55,25,27
C,4,1,403.28,1.55,25,27
C,4,2,431.74,1.56,25,27
C,4,3,394.48,1.55,25,27
C,5,1,422.32,1.55,25,27
C,5,2,405.08,1.56,25,27
C,5,3,394.14,1.55,25,27
C,6,1,399.58,1.56,25,27
C,6,2,412.01,1.56,25,27
C,6,3,421.27,1.57,25,27
C,7,1,389.74,1.55,25,27
C,7,2,434.59,1.56,25,28
C,7,3,433.40,1.55,25,27
C,8,1,408.97,1.54,25,27
C,8,2,396.71,1.55,25,27
C,8,3,389.30,1.55,25,27
C,9,1,457.52,1.57,25,27
C,9,2,407.60,1.57,25,27
