workload,N,rep,first_query_us,avg_us,majflt,minflt
C,59,1,972.02,1.56,24,25
C,59,2,1028.09,1.55,24,26
C,59,3,967.07,1.53,24,25
C,60,1,839.33,1.54,24,25
C,60,2,915.29,1.54,24,25
C,60,3,844.99,1.54,24,25
C,61,1,971.83,1.52,24,25
C,61,2,981.61,1.54,24,25
C,61,3,985.44,1.55,24,25
C,62,1,965.61,1.54,24,25
C,62,2,974.72,1.54,24,25
C,62,3,974.33,1.54,24,25
C,63,1,976.02,1.55,24,25
C,63,2,968.71,1.53,24,25
C,63,3,968.46,1.56,24,25
C,64,1,980.58,1.57,24,25
C,64,2,977.11,1.56,24,26
C,64,3,974.00,1.58,24,25
C,65,1,983.51,1.54,24,25
C,65,2,970.04,1.53,24,25
C,65,3,972.46,1.53,24,25
C,66,1,976.83,1.54,24,26
C,66,2,970.15,1.55,24,25
C,66,3,977.35,1.53,24,25
C,67,1,970.96,1.57,24,26
C,67,2,982.86,1.56,24,26
C,67,3,972.88,1.54,24,25
C,68,1,982.15,1.53,24,25
C,68,2,976.74,1.53,24,25
C,68,3,976.74,1.54,24,25
C,69,1,976.17,1.52,24,25
C,69,2,976.07,1.54,24,25
C,69,3,975.24,1.56,24,26
