workload,db,strategy,mem_limit,rep,first_query_us,avg_us,majflt,minflt
B,orig,2e_K500,20M,4,258.98,1.92,230,357
B,orig,2f_SLRU,20M,4,19.43,1.83,181,505
B,orig,base,20M,5,468.93,1.84,196,283
B,orig,2d,20M,5,246.29,1.88,214,357
B,orig,2e_K10,20M,5,254.35,1.85,193,291
B,orig,2e_K50,20M,5,247.72,1.89,223,357
B,orig,2e_K100,20M,5,261.46,1.95,219,366
B,orig,2e_K500,20M,5,271.98,1.91,239,392
B,orig,2f_SLRU,20M,5,20.76,1.86,188,512
B,orig,base,20M,6,462.39,1.84,186,283
B,orig,2d,20M,6,242.85,1.93,212,342
B,orig,2e_K10,20M,6,245.40,1.87,190,291
B,orig,2e_K50,20M,6,244.83,1.88,222,357
B,orig,2e_K100,20M,6,243.02,1.86,207,304
B,orig,2e_K500,20M,6,324.84,1.91,243,358
B,orig,2f_SLRU,20M,6,16.09,1.85,176,496
B,orig,base,none,1,452.51,1.82,181,273
B,orig,2d,none,1,250.91,1.83,181,277
B,orig,2e_K10,none,1,251.30,1.83,181,279
B,orig,2e_K50,none,1,252.56,1.83,183,285
B,orig,2e_K100,none,1,252.75,1.85,184,290
B,orig,2e_K500,none,1,267.14,1.86,186,326
B,orig,2f_SLRU,none,1,17.33,1.56,0,280
B,orig,base,none,2,461.86,1.85,181,273
B,orig,2d,none,2,261.33,1.82,181,277
B,orig,2e_K10,none,2,246.82,1.87,181,279
B,orig,2e_K50,none,2,269.87,1.84,183,284
B,orig,2e_K100,none,2,248.32,1.84,184,290
B,orig,2e_K500,none,2,278.89,1.88,186,320
B,orig,2f_SLRU,none,2,16.39,1.54,0,279
B,orig,base,none,3,466.68,1.83,181,273
B,orig,2d,none,3,251.42,1.85,181,277
B,orig,2e_K10,none,3,249.91,1.84,181,280
B,orig,2e_K50,none,3,251.01,1.85,183,285
B,orig,2e_K100,none,3,254.54,1.86,184,291
B,orig,2e_K500,none,3,412.35,1.85,186,323
B,orig,2f_SLRU,none,3,15.87,1.56,0,279
B,orig,base,none,4,472.82,1.88,181,273
B,orig,2d,none,4,281.04,1.84,181,277
B,orig,2e_K10,none,4,245.67,1.83,181,279
B,orig,2e_K50,none,4,257.38,1.84,183,285
B,orig,2e_K100,none,4,251.90,1.83,184,291
B,orig,2e_K500,none,4,258.11,1.85,186,325
B,orig,2f_SLRU,none,4,19.64,1.56,0,279
B,orig,base,none,5,473.78,1.83,181,273
B,orig,2d,none,5,256.03,1.84,181,277
B,orig,2e_K10,none,5,254.62,1.84,181,279
B,orig,2e_K50,none,5,249.78,1.85,183,285
B,orig,2e_K100,none,5,268.61,1.89,184,289
B,orig,2e_K500,none,5,253.22,1.85,186,323
B,orig,2f_SLRU,none,5,15.36,1.54,0,279
B,orig,base,none,6,471.13,1.81,181,273
B,orig,2d,none,6,257.50,1.84,181,277
B,orig,2e_K10,none,6,251.76,1.84,181,280
B,orig,2e_K50,none,6,256.85,1.85,183,284
B,orig,2e_K100,none,6,259.07,1.85,184,290
B,orig,2e_K500,none,6,219.83,1.84,186,326
B,orig,2f_SLRU,none,6,16.93,1.58,0,279
B,vacuum,base,20M,1,532.44,1.78,144,237
B,vacuum,2d,20M,1,270.11,1.76,145,235
B,vacuum,2e_K10,20M,1,265.93,1.78,145,237
B,vacuum,2e_K50,20M,1,275.25,1.78,147,241
B,vacuum,2e_K100,20M,1,258.70,1.77,149,244
B,vacuum,2e_K500,20M,1,307.86,1.81,151,273
B,vacuum,2f_SLRU,20M,1,16.69,1.57,0,215
B,vacuum,base,20M,2,517.76,1.79,144,237
B,vacuum,2d,20M,2,252.60,1.81,145,235
B,vacuum,2e_K10,20M,2,255.89,1.79,145,238
B,vacuum,2e_K50,20M,2,255.08,1.80,147,241
B,vacuum,2e_K100,20M,2,255.37,1.82,149,243
B,vacuum,2e_K500,20M,2,297.15,1.81,151,266
B,vacuum,2f_SLRU,20M,2,18.25,1.54,0,216
B,vacuum,base,20M,3,516.54,1.79,144,237
B,vacuum,2d,20M,3,251.42,1.78,145,235
B,vacuum,2e_K10,20M,3,258.49,1.78,145,238
